TITLE,SCORE
Lawrence M. Walsh Sr.,0
Fort Payne Opera House,1
Dumalneg,0
Lane Fox,1
Brazilian spiny tree-rat,1
Ravindran Kannan,0
George William Fullerton,1
Government Thoothukudi Medical College and Hospital,0
Barbara Neely,1
Skin in the Game (book),0
Ross 128 b,1
Roman Catholic Archdiocese of Suva,0
European Humanist Federation,1
Patrick Henry Jones,0
James Wong Howe,1
Villa del Balbianello,1
Fuerte de San José,1
Tomiyama Taeko,0
Lawrence Tyson,0
Rinspeed,1
1971 CONCACAF Championship qualification,0
Lebedodes jeanneli,1
Ghiselin,0
Daniel Martínez,0
1979 Madrid bombing,1
Boston Metro,0
Job's comforter,1
Sheldon stone circle,1
Nabil F. Saba,0
Escoboza,0
List of cyclists at the 2020 Summer Olympics,1
1997 Nevada Wolf Pack football team,0
Christopher Bertolini,1
Parish of Narrawa,0
Corno Campascio,1
Trupanea pentziana,0
Henry van Lyck,1
Enteucha contracolorea,0
The Sensualist,1
Hurricane Blas (2022),0
