TITLE	SCORE
Walter Hoyland	0
Whitney Cross	1
William Beale	1
William Lee Rayborn	1
Viktor Schubert	0
Vitaliy Khomutynnik	0
USS Undine	1
Unborn Love	1
T1 League	0
Tenterhooks (album)	1
Tmesisternus wiedenfeldi	0
Tomoplagia grandis	1
SEED Alternative School	1
Samuel C. Lind	0
Secretary of State of Maine	0
Shajarur Kanta	1
Shambip County, Utah Territory	0
Siebe Van der Heyden	0
Speed skating at the 1928 Winter Olympics – Men's 500 metres	1
Stewart Loewe	0
Susan-e Sharqi Rural District	1
R336 road (Ireland)	0
Red Squirrel Lake	0
Reggie Hearn	0
Rhodopetoma diaulax	1
Rissoa janusi	0
Ross MacKenzie (sprinter)	1
Pan-American Korfball Championship	1
Paul Mente	0
Paulaya River	0
Phleum phleoides	1
Polana, Murska Sobota	1
Presidents of the Regional Government of the Azores	0
Pseudocharis romani	0
Élie Domota	1
Oatlands, Surrey	0
Ohio Roller Derby	0
Orpha, Wyoming	0
Ottho Gerhard Heldringstichting	1
1984 United States Senate election in Arkansas	0
2007 Czech Lion Awards	1
2015–16 Cayman Islands Premier League	1
2016–17 Illinois State Redbirds women's basketball team	1
2020–21 Super Smash (men's cricket)	0
620s	1
NBP F.C.	1
Navarro Networks	1
Malta Independent School District	0
Malësia	1
Masters W35 high jump world record progression	0
Mette Schjoldager	0
Military Commissions Act	1
Mycobacterium septicum	0
Liberian companies	1
List of members of the Canadian Parliament who died in office (1900–1949)	0
Lygodactylus grotei	1
KDLA (AM)	1
Kathinka Rebling	1
Kuivasaari	0
Jacobus Oldenbroek	1
Jean-Pierre Heynderickx	0
Jewish Question in Poland	0
Jochen Küpper	0
John Walter Hulme	0
Jonathan Kent (cricketer)	1
July 1968 Dahomeyan presidential election	1
Igboid languages	1
Is This the World We Created...?	1
Henderson Inlet	1
Heteralcis tetraclina	0
Hushakert	0
Geography of Halifax, Nova Scotia	0
Greensboro North Airport	0
Grothendieck–Teichmüller group	1
Frederick Sargood	0
From Out of Sherwood Forest	0
East Belmont Saints Baseball Club	0
Edundja	1
Elaman Creek, Queensland	1
Ellesmere railway station	1
Ertaş, Daday	0
Estonia Billie Jean King Cup team	1
David Schreiner	0
Distinction (law)	0
Domingo Belestá	0
Carla Bodendorf	0
Casa Loma Ballroom	0
Chandranath	0
Chanéac	1
Charles Nourse	0
Chifeng sui	1
Chris Zebroski	1
Compagnie de Navigation Sud-Atlantique	0
Bao Tong	0
Beatrice Offor	1
Beatrice of Burgundy	0
Across the River	0
Addam Yekutieli	0
Ann Shoket	1
Archcathedral Basilica of St. John the Baptist (Warsaw)	0
Institut_national_agronomique_Paris_Grignon	1
Moro-Naba_Ceremony	1
